lux,type,mileage(km),prod_year,ccm,power(kW),curr_year,price(eur)
10,1,89.967,2010,1390,90,2017,9.99
10,1,99.8,2010,1598,77,2017,11.48
10,1,65.02,2010,1390,90,2017,12.84
10,1,185.0,2010,1598,77,2017,6.999
10,1,180.0,2010,1598,77,2017,7.49
10,1,98.0,2010,1197,63,2017,7.9
10,1,176.0,2010,1598,77,2017,7.98
10,1,122.0,2010,1598,77,2017,7.999
10,1,150.0,2010,1598,77,2017,7.999
10,1,60.5,2010,1197,63,2017,8.0
10,1,213.0,2010,1598,77,2017,8.2
10,1,213.0,2010,1598,77,2017,8.2
10,1,105.0,2010,1598,77,2017,8.35
10,1,133.0,2010,1598,77,2017,8.45
10,1,97.0,2010,1598,77,2017,8.5
10,1,133.0,2010,1197,63,2017,8.5
10,1,105.6,2010,1197,63,2017,8.5
10,1,163.0,2010,1598,77,2017,8.7
10,1,54.5,2010,1390,90,2017,8.75
10,1,94.0,2010,1598,77,2017,8.79
10,1,146.0,2010,1390,90,2017,8.8
10,1,65.02,2010,1390,90,2017,12.84
10,1,95.9,2010,1197,63,2017,8.8
10,1,108.86,2010,1197,63,2017,8.899
10,1,104.0,2010,1390,90,2017,8.9
10,1,96.0,2010,1598,77,2017,8.9
10,1,73.0,2010,1197,63,2017,8.9
10,1,73.0,2010,1197,63,2017,8.95
10,1,129.54,2010,1390,90,2017,8.99
10,1,185.355,2010,1598,77,2017,8.99
10,1,144.0,2010,1598,77,2017,8.99
10,1,106.212,2010,1390,90,2017,9.0
10,1,106.212,2010,1390,90,2017,9.0
10,1,89.313,2010,1197,63,2017,9.0
10,1,141.466,2010,1390,90,2017,9.002
10,1,132.127,2010,1598,77,2017,9.1
10,1,156.263,2010,1598,77,2017,9.2
10,1,110.0,2010,1390,90,2017,9.25
10,1,123.0,2010,1598,77,2017,9.38
10,1,164.0,2010,1598,77,2017,9.39
10,1,119.0,2010,1390,90,2017,9.48
10,1,89.967,2010,1390,90,2017,9.99
10,1,44.587,2010,1390,90,2017,12.49
10,1,144.6,2010,1390,90,2017,10.9
10,1,185.0,2010,1598,77,2017,6.999
10,1,180.0,2010,1598,77,2017,7.49
10,1,98.0,2010,1197,63,2017,7.9
10,1,176.0,2010,1598,77,2017,7.98
10,1,122.0,2010,1598,77,2017,7.999
10,1,150.0,2010,1598,77,2017,7.999
10,1,60.5,2010,1197,63,2017,8.0
10,1,213.0,2010,1598,77,2017,8.2
10,1,213.0,2010,1598,77,2017,8.2
10,1,105.0,2010,1598,77,2017,8.35
10,1,133.0,2010,1598,77,2017,8.45
10,1,97.0,2010,1598,77,2017,8.5
10,1,133.0,2010,1197,63,2017,8.5
10,1,105.6,2010,1197,63,2017,8.5
10,1,163.0,2010,1598,77,2017,8.7
10,1,54.5,2010,1390,90,2017,8.75
10,1,94.0,2010,1598,77,2017,8.79
10,1,69.999,2011,1197,63,2017,10.99
10,1,113.9,2011,1598,77,2017,9.899
10,1,163.549,2011,1598,77,2017,11.45
10,1,4.037,2011,1390,90,2017,13.35
10,1,50.0,2011,1390,136,2017,16.99
10,1,76.896,2011,1598,66,2017,10.99
10,1,157.35,2011,1390,90,2017,9.999
10,1,190.0,2011,1598,77,2017,8.98
10,1,51.46,2011,1197,63,2017,9.88
10,1,106.102,2011,1390,90,2017,10.89
10,1,107.74,2011,1390,136,2017,14.99
10,1,79.135,2011,1390,136,2017,13.99
10,1,85.1,2011,1197,63,2017,9.99
10,1,64.0,2011,1197,63,2017,12.5
10,1,75.8,2011,1197,63,2017,11.34
10,1,53.432,2011,1197,63,2017,11.49
10,1,90.0,2011,1390,90,2017,14.5
10,1,87.632,2011,1390,136,2017,13.449
10,1,27.092,2011,1197,63,2017,10.999
10,1,97.851,2011,1197,63,2017,11.5
10,1,97.0,2011,1390,90,2017,8.99
10,1,105.0,2011,1197,63,2017,7.5
10,1,101.619,2011,1598,77,2017,10.75
10,1,78.0,2011,1598,77,2017,10.99
10,1,37.0,2011,1400,136,2017,16.99
10,1,58.5,2011,1598,77,2017,13.999
10,1,116.5,2011,1390,90,2017,10.485
10,1,68.5,2011,1390,136,2017,15.89
10,1,52.803,2011,1598,77,2017,10.59
10,1,36.5,2011,1197,63,2017,10.81
10,1,145.7,2011,1390,90,2017,10.27
10,1,74.631,2011,1197,63,2017,10.998
10,1,43.1,2011,1390,136,2017,15.9
10,1,22.212,2011,1197,63,2017,8.799
10,1,79.0,2011,1197,63,2017,8.95
10,1,87.776,2011,1197,63,2017,8.99
10,1,63.99,2011,1390,90,2017,10.999
10,1,53.555,2011,1598,66,2017,10.95
10,1,55.0,2011,1598,77,2017,10.5
10,1,96.0,2011,1598,77,2017,11.49
10,1,45.1,2011,1197,63,2017,12.3
10,1,79.9,2011,1598,77,2017,12.45
10,1,101.619,2011,1598,77,2017,10.75
10,1,69.999,2011,1197,63,2017,10.99
10,1,163.549,2011,1598,77,2017,11.45
10,1,4.037,2011,1390,90,2017,13.35
10,1,50.0,2011,1390,136,2017,16.99
10,1,76.896,2011,1598,66,2017,10.99
10,1,157.35,2011,1390,90,2017,9.999
10,1,190.0,2011,1598,77,2017,8.98
10,1,51.46,2011,1197,63,2017,9.88
10,1,106.102,2011,1390,90,2017,10.89
10,1,107.74,2011,1390,136,2017,14.99
10,1,79.135,2011,1390,136,2017,13.99
10,1,85.1,2011,1197,63,2017,9.99
10,1,64.0,2011,1197,63,2017,12.5
10,1,75.8,2011,1197,63,2017,11.34
10,1,53.432,2011,1197,63,2017,11.49
10,1,90.0,2011,1390,90,2017,14.5
10,1,87.632,2011,1390,136,2017,13.449
10,1,27.092,2011,1197,63,2017,10.999
10,1,173.736,2012,1598,66,2017,8.78
10,1,86.266,2012,1598,66,2017,10.98
10,1,99.98,2012,1968,105,2017,12.42
10,1,162.0,2012,1197,63,2017,7.7
10,1,132.6,2012,1598,66,2017,7.9
10,1,139.2,2012,1598,66,2017,8.0
10,1,155.0,2012,1197,63,2017,8.199
10,1,74.853,2012,1197,63,2017,8.5
10,1,140.0,2012,1197,63,2017,8.5
10,1,177.0,2012,1598,66,2017,8.5
10,1,52.4,2012,1197,63,2017,8.642
10,1,95.0,2012,1598,66,2017,8.65
10,1,159.262,2012,1598,66,2017,8.772
10,1,173.736,2012,1598,66,2017,8.78
10,1,141.0,2012,1598,66,2017,8.888
10,1,131.0,2012,1598,66,2017,8.9
10,1,129.569,2012,1598,66,2017,8.94
10,1,124.377,2012,1598,66,2017,8.95
10,1,103.585,2012,1197,63,2017,8.99
10,1,90.0,2012,1197,63,2017,8.99
10,1,109.0,2012,1197,63,2017,8.999
10,1,134.0,2012,1197,63,2017,8.999
10,1,88.499,2012,1598,77,2017,12.2
10,1,76.0,2012,1197,63,2017,9.2
10,1,91.5,2012,1598,77,2017,9.25
10,1,115.529,2012,1197,63,2017,9.45
10,1,79.0,2012,1197,63,2017,9.5
10,1,87.7,2012,1197,63,2017,9.5
10,1,107.0,2012,1598,77,2017,9.5
10,1,125.0,2012,1598,66,2017,9.5
10,1,111.75,2012,1598,77,2017,9.5
10,1,168.629,2012,1598,66,2017,9.52
10,1,110.382,2012,1598,77,2017,9.58
10,1,105.0,2012,1390,90,2017,9.59
10,1,133.26,2012,1598,77,2017,9.65
10,1,69.678,2012,1197,63,2017,9.65
10,1,64.71,2012,1197,63,2017,9.74
10,1,129.862,2012,1598,66,2017,9.758
10,1,149.214,2012,1598,66,2017,9.79
10,1,115.0,2012,1197,63,2017,9.8
10,1,170.938,2012,1598,66,2017,9.801
10,1,117.172,2012,1197,63,2017,9.88
10,1,72.544,2012,1197,63,2017,9.88
10,1,18.0,2012,1197,63,2017,14.89
10,1,88.499,2012,1598,77,2017,12.2
10,1,50.3,2012,1390,136,2017,17.495
10,1,162.0,2012,1197,63,2017,7.7
10,1,132.6,2012,1598,66,2017,7.9
10,1,139.2,2012,1598,66,2017,8.0
10,1,155.0,2012,1197,63,2017,8.199
10,1,74.853,2012,1197,63,2017,8.5
10,1,140.0,2012,1197,63,2017,8.5
10,1,177.0,2012,1598,66,2017,8.5
10,1,52.4,2012,1197,63,2017,8.642
10,1,95.0,2012,1598,66,2017,8.65
10,1,159.262,2012,1598,66,2017,8.772
10,1,173.736,2012,1598,66,2017,8.78
10,1,141.0,2012,1598,66,2017,8.888
10,1,131.0,2012,1598,66,2017,8.9
10,1,129.569,2012,1598,66,2017,8.94
10,1,124.377,2012,1598,66,2017,8.95
10,1,14.099,2013,1598,77,2017,17.98
10,1,190.0,2013,1598,77,2017,10.221
10,1,34.58,2013,1197,63,2017,14.32
10,1,350.0,2013,1598,77,2017,7.9
10,1,96.458,2013,1598,66,2017,8.0
10,1,173.5,2013,1598,77,2017,8.98
10,1,140.0,2013,1197,63,2017,8.99
10,1,54.0,2013,1197,63,2017,9.35
10,1,159.0,2013,1598,60,2017,9.46
10,1,172.719,2013,1598,66,2017,9.65
10,1,121.0,2013,1598,77,2017,9.799
10,1,178.0,2013,1598,66,2017,9.9
10,1,120.0,2013,1598,77,2017,9.9
10,1,72.0,2013,1197,63,2017,9.9
10,1,87.0,2013,1197,63,2017,9.94
10,1,132.0,2013,1598,66,2017,9.95
10,1,148.5,2013,1598,66,2017,9.98
10,1,68.0,2013,1598,66,2017,9.99
10,1,89.9,2013,1197,63,2017,9.99
10,1,125.0,2013,1598,66,2017,9.99
10,1,72.0,2013,1598,66,2017,9.999
10,1,47.0,2013,1598,66,2017,10.0
10,1,100.0,2013,1197,63,2017,10.149
10,1,190.0,2013,1598,77,2017,10.221
10,1,190.0,2013,1598,77,2017,10.221
10,1,59.2,2013,1197,63,2017,10.35
10,1,117.036,2013,1197,63,2017,10.47
10,1,148.64,2013,1598,77,2017,10.49
10,1,109.2,2013,1598,66,2017,10.5
10,1,65.0,2013,1197,63,2017,10.5
10,1,144.0,2013,1598,66,2017,10.5
10,1,114.5,2013,1598,66,2017,10.575
10,1,119.0,2013,1598,66,2017,10.75
10,1,61.028,2013,1197,63,2017,10.78
10,1,75.8,2013,1197,63,2017,10.83
10,1,75.8,2013,1197,63,2017,10.83
10,1,51.856,2013,1197,63,2017,10.84
10,1,76.501,2013,1197,63,2017,10.85
10,1,88.738,2013,1598,66,2017,10.88
10,1,49.0,2013,1197,63,2017,10.89
10,1,62.0,2013,1197,63,2017,10.89
10,1,48.258,2013,1197,63,2017,10.9
10,1,98.775,2013,1968,105,2017,13.95
10,1,29.72,2013,1197,63,2017,12.99
10,1,62.37,2013,1390,90,2017,14.35
